lastname	forename	initials	query			
Kim	Richard	RBK	Richard B Kim[Author] and Canada			
Dresser	George	GKD	George Dresser[Author]			
Gros	Robert	RG	Robert Gros[Author] and Canada			
Gryn	Steven	SEG	Steven Gryn[Author]			
Hackam	Dan	DGH	Dan Hackam[Author]			
Railton	Craig	CR	Craig Railton[Author]			
Rieder	Michael	MJR	Michael J Rieder[Author]			
Schwarz	Ute	UIS	Ute I Schwarz[Author]			
Wilson	Aze	ASW	Aze Wilson[Author]			
