lastname	forename	initials	query
Kane	Sheri-Lynn	SLK	Sheri-Lynn Kane[Author]
Bhangu	Jaspreet	JSB	Jaspreet S Bhangu[Author]
Borrie	Michael	MJB	Michael Borrie[Author]
Burrell	Alishya	AB	Alishya Burrell[Author]
Dasgupta	Monidipa	MD	Monidipa Dasgupta[Author]
Diachun	Laura	LLD	Laura Diachun[Author]
Kyle	Rachel	RK	Rachel Kyle[Author]
Montero-Odasso	Manuel	MMO	Manuel Montero-Odasso[Author]
Taabazuing	Margaret	MMT	Taabazuing MM
Thain	Jenny	JT	Jenny Thain[Author]
Wells	Jennie	JLW	Jennie Wells[Author]
